multiplier,threshold,precision,recall,f1_score,accuracy,fpr,specificity,tp,tn,fp,fn,pr_balance
0.3,0.24409346391547934,0.12762237762237763,0.49324324324324326,0.20277777777777778,0.7588235294117647,0.22356630824372759,0.7764336917562724,73,1733,499,75,0.3656208656208656
0.35,0.28477570790139256,0.13024282560706402,0.39864864864864863,0.19633943427620631,0.7970588235294118,0.17652329749103943,0.8234767025089605,59,1838,394,89,0.2684058230415846
0.39999999999999997,0.32545795188730575,0.12596401028277635,0.3310810810810811,0.1824953445065177,0.815546218487395,0.15232974910394265,0.8476702508960573,49,1892,340,99,0.20511707079830474
0.44999999999999996,0.366140195873219,0.14327485380116958,0.3310810810810811,0.2,0.8352941176470589,0.13127240143369176,0.8687275985663082,49,1939,293,99,0.1878062272799115
0.49999999999999994,0.4068224398591322,0.15161290322580645,0.31756756756756754,0.2052401746724891,0.8470588235294118,0.117831541218638,0.882168458781362,47,1969,263,101,0.1659546643417611
0.5499999999999999,0.44750468384504544,0.1455223880597015,0.2635135135135135,0.1875,0.8579831932773109,0.10259856630824372,0.8974014336917563,39,2003,229,109,0.11799112545381199
0.5999999999999999,0.4881869278309586,0.13636363636363635,0.20270270270270271,0.16304347826086957,0.8705882352941177,0.08512544802867383,0.9148745519713262,30,2042,190,118,0.06633906633906636
0.6499999999999999,0.5288691718168719,0.13089005235602094,0.16891891891891891,0.14749262536873156,0.8785714285714286,0.07437275985663082,0.9256272401433692,25,2066,166,123,0.03802886656289797
0.7,0.5695514158027851,0.12790697674418605,0.14864864864864866,0.1375,0.8840336134453781,0.06720430107526881,0.9327956989247311,22,2082,150,126,0.020741671904462605
0.7499999999999999,0.6102336597886983,0.13580246913580246,0.14864864864864866,0.14193548387096774,0.888235294117647,0.06272401433691756,0.9372759856630825,22,2092,140,126,0.012846179512846195
0.7999999999999998,0.6509159037746114,0.1360544217687075,0.13513513513513514,0.13559322033898305,0.8928571428571429,0.056899641577060935,0.943100358422939,20,2105,127,128,0.0009192866335723526
0.8499999999999999,0.6915981477605248,0.12949640287769784,0.12162162162162163,0.1254355400696864,0.8945378151260505,0.05421146953405018,0.9457885304659498,18,2111,121,130,0.007874781256076213
0.8999999999999999,0.732280391746438,0.11363636363636363,0.10135135135135136,0.10714285714285714,0.8949579831932774,0.05241935483870968,0.9475806451612904,15,2115,117,133,0.012285012285012276
0.95,0.7729626357323512,0.11475409836065574,0.0945945945945946,0.1037037037037037,0.8983193277310925,0.04838709677419355,0.9516129032258065,14,2124,108,134,0.02015950376606114
0.9999999999999998,0.8136448797182643,0.1206896551724138,0.0945945945945946,0.10606060606060606,0.9008403361344538,0.0456989247311828,0.9543010752688172,14,2130,102,134,0.0260950605778192
1.0499999999999998,0.8543271237041775,0.12844036697247707,0.0945945945945946,0.10894941634241245,0.903781512605042,0.04256272401433692,0.9574372759856631,14,2137,95,134,0.03384577237788247
1.0999999999999999,0.8950093676900909,0.12871287128712872,0.08783783783783784,0.10441767068273092,0.9063025210084034,0.03942652329749104,0.9605734767025089,13,2144,88,135,0.04087503344929087
1.15,0.9356916116760041,0.14285714285714285,0.08783783783783784,0.1087866108786611,0.9105042016806723,0.03494623655913978,0.9650537634408602,13,2154,78,135,0.055019305019305006
1.1999999999999997,0.9763738556619171,0.14606741573033707,0.08783783783783784,0.10970464135021098,0.911344537815126,0.034050179211469536,0.9659498207885304,13,2156,76,135,0.05822957789249923
1.2499999999999998,1.0170560996478304,0.1511627906976744,0.08783783783783784,0.1111111111111111,0.9126050420168067,0.03270609318996416,0.9672939068100358,13,2159,73,135,0.06332495285983657
1.2999999999999998,1.0577383436337437,0.1625,0.08783783783783784,0.11403508771929824,0.915126050420168,0.030017921146953404,0.9699820788530465,13,2165,67,135,0.07466216216216216
1.3499999999999999,1.0984205876196569,0.17105263157894737,0.08783783783783784,0.11607142857142858,0.9168067226890756,0.028225806451612902,0.9717741935483871,13,2169,63,135,0.08321479374110953
1.3999999999999997,1.13910283160557,0.16417910447761194,0.07432432432432433,0.10232558139534884,0.91890756302521,0.025089605734767026,0.974910394265233,11,2176,56,137,0.08985478015328761
1.4499999999999997,1.1797850755914834,0.16923076923076924,0.07432432432432433,0.10328638497652583,0.9197478991596638,0.024193548387096774,0.9758064516129032,11,2178,54,137,0.09490644490644491
1.4999999999999998,1.2204673195773965,0.19298245614035087,0.07432432432432433,0.1073170731707317,0.923109243697479,0.02060931899641577,0.9793906810035843,11,2186,46,137,0.11865813181602654
1.5499999999999998,1.2611495635633099,0.2037037037037037,0.07432432432432433,0.10891089108910891,0.9243697478991597,0.019265232974910396,0.9807347670250897,11,2189,43,137,0.12937937937937938
1.5999999999999999,1.301831807549223,0.21568627450980393,0.07432432432432433,0.11055276381909548,0.9256302521008404,0.017921146953405017,0.982078853046595,11,2192,40,137,0.1413619501854796
1.6499999999999997,1.3425140515351361,0.25,0.07432432432432433,0.11458333333333333,0.9285714285714286,0.01478494623655914,0.9852150537634409,11,2199,33,137,0.17567567567567566
1.6999999999999997,1.3831962955210495,0.23809523809523808,0.06756756756756757,0.10526315789473684,0.9285714285714286,0.014336917562724014,0.985663082437276,10,2200,32,138,0.1705276705276705
1.7499999999999998,1.4238785395069626,0.25,0.06756756756756757,0.10638297872340426,0.9294117647058824,0.013440860215053764,0.9865591397849462,10,2202,30,138,0.18243243243243243
1.7999999999999996,1.4645607834928758,0.2777777777777778,0.06756756756756757,0.10869565217391304,0.9310924369747899,0.011648745519713262,0.9883512544802867,10,2206,26,138,0.21021021021021022
1.8499999999999996,1.505243027478789,0.2857142857142857,0.06756756756756757,0.1092896174863388,0.9315126050420168,0.011200716845878136,0.9887992831541219,10,2207,25,138,0.21814671814671813
1.8999999999999997,1.5459252714647023,0.29411764705882354,0.06756756756756757,0.10989010989010989,0.9319327731092437,0.010752688172043012,0.989247311827957,10,2208,24,138,0.22655007949125597
1.9499999999999997,1.5866075154506156,0.3225806451612903,0.06756756756756757,0.11173184357541899,0.9331932773109244,0.009408602150537635,0.9905913978494624,10,2211,21,138,0.2550130775937227
1.9999999999999998,1.6272897594365288,0.35714285714285715,0.06756756756756757,0.11363636363636363,0.934453781512605,0.008064516129032258,0.9919354838709677,10,2214,18,138,0.28957528957528955
